review,nickname,dt,star,gong,bgong
딴건모르겟고 씁슬한거말고는 없었금,jdyeowh,2019.06.12,1,8,4
관람객영화 자체는 그래 좋다. 근데 제목이 기생충이라니..왠가했다 보기전엔.  근데 영화를 다 보고 난뒤 씁쓸함은 어쩔. 영화가 끝나고 불이 켜지고 사람들이 자리에서 하나둘 일어나는데 그 누구도 말을 하지 않았다.  평범...,코스모스rain,2019.06.12,5,8,4
가난한 사람과 부유한 사람이 길에서 싸운다면 누구의 편을 들어줘야 할까? 정답은 잘못이 없는 사람의 손을 들어주는 것이다. 하지만 많은 사람들은 시비를 가리기 이전에 가난한 사람의 편에 서는걸 정의라 착각한다. 현정...,kind,2019.06.11,8,8,4
글쎄;;;너무 뻔한내용,꽃송희fjqm,2019.06.11,4,8,4
그닥 대단한 반전은 없으니 기분나쁠거 각오하고 굳이 볼사람글은 안보는게 나을듯. 잔인한 장면도 많고 기분 더러워지는 영화. 연인이나 가족끼리 보는거 보다는 혼자보길 추천,바츨라프sang,2019.06.09,6,8,4
영화보다가 나온 적은 처음이네요,윤지원ygw2,2019.06.09,6,8,4
"지루하고 모든분들이 너무 편했을 것같은, 스크린에서 어렸을때 TV보는 느낌이 듭니다",자론 310yhmd,2019.06.08,1,8,4
가족들과 보기엔 불쾌하고 찝찝했던 영화,시녕2015syki,2019.06.08,6,8,4
근데 왜 봉준호는 사회계급층처럼 살면서 계급체계를 부정하는 영화만 찍는거임??,천존ksyk,2019.06.08,1,8,4
"니가 알아서 엄청난 의미부여를 하지않는 이상, 완전 별로다. 진짜 거품이다",ty88,2019.06.08,1,8,4
명작이니 뭐니 하면서 이선균의 회사이름이자 이선균이 송강호 테스트드라이브때 손에 들고 있던 컵에도 적혀 있던 '어나더 브릭'이라는 문구의 의미는 아무도 못 알아채네. 지적 허영심에 일단 작품을 명작이라...,band,2019.06.07,4,8,4
가족이 사기를 쳤다해도 가슴아리고 안타까운.. 가슴을 울리는 영화. 여운이 너무 진하고 영화가 끝나도 한동안 가만히 앉아있게 만드는 영화... 1주 후 생각해도 못다한 사랑만큼 마음아픈 영화.,만두jlyl,2019.06.07,10,8,4
"봉준호감독은 천잽니다. 시나리오 부터 구성 연출 모든게 충격 그자체 충격적인 영화 보고 왔네요. 여태까지 나온 영화들은 죄다 관객수 올리기 위한 자극적인,뻔한 영화뿐이였는데 그리고 솔직히 유명한 배우들 많았지만 가정...",수달hbin,2019.06.06,10,8,4
거장이란 이름에 비해 너무 부실한 내용.. 전작들을 너무 좋게 봐서 봉준호감독 영화고 상도 받았다길래 너무 기대했나..소재는 참신하나 내용이 전개속도를 못따라가고 부실함..하고싶은말이 많지만 가장 큰 결점은 기생충이...,디비dksx,2019.06.06,6,8,4
불쾌 그 자체 기분 나쁜 영화,only,2019.06.06,2,8,4
솔직히 살인의 추억은 실화 바탕이라 그려러니 하는데 난 봉준호식 뒷맛 찝찝하게 만드는거 안좋아 해서...느낀점은 송강호 존재감이 최우식에 밀렸다는거 연기 잘하는건 알았는데 이정도일줄은 몰랐다.,ㅋㅋㅋyyd7,2019.06.04,6,8,4
관람객기대했던 것만큼 재미있지는 않았음,spzk,2019.06.04,7,8,4
아 ㅋㅋ 그 부잣집 아덜마냥 예술가인척 할라믄 10점 줘야제 ㅋㅋ  실검에 기생충 해석 뜨던데 아;,어머ljoh,2019.06.04,10,8,4
한없이 찌질한 기생충들은 선을 벗어날수 없는 한인종으로 분류하는듯 불쾌감도 안겨주네요. 신선하고 긴장감도 있는데 심장까지 터치는 아니네요. 중후반부는 개연성 애매해요. 봉감독님은 살인의추억이 최고였던거 같아요.영환 ...,whos,2019.06.04,6,8,4
결국 말하고 싶은건 돈이 다라는거?,feel,2019.06.03,3,8,4
기대는 컸으나..뭔가가 아쉬운ㅜㅜ,pjh7,2019.06.03,1,8,4
왠만한 노잼영화도 재밌게보려는 성격인데이건 뭐 나만 노잼인가?,pth3,2019.06.02,1,8,4
별로네요. 재미없는 영화,오드리맘3329wwwk,2019.06.02,2,8,4
갠적으로 그냥 그저 그런영화... 기대를많이해서그런가..,톨토이스ssia,2019.06.02,7,8,4
"연출과 연기, 간간한 재미가 보이긴 했지만 불쾌하고 짜증만 남았던 영화였다. 칸 수상작이라는 명예에 비해 실망스러운 내용이다.몇몇 부분들 때문에 스토리의 몰입이 확 깨져버렸다.",귀염둥이cheo,2019.06.02,2,8,4
작품성은 좋을지 모르겠는데 영화는 재미없던데,흠좀tgsw,2019.06.02,2,8,4
억지로 의미 부여하는 것만 느껴지고 자극적이기만 함.. 스토리 개연성도 영..,쌍봉elel,2019.06.02,6,8,4
관람객장면하나하나 대사하나하나 놓칠 것이 없고 봉준호 감독의 노력이 담겨있다. 영화를 다 보고나서야 제목이 왜 기생충이었는지 비로소 알게된다.,스나이퍼deep,2019.06.02,10,8,4
한국영화의 한계가 느껴지네 갈수록 재미없어0점을 주고 싶지만 0점을 줄 수 없는게 안타깝다,아조라cdbi,2019.06.02,1,8,4
비현실적이였음..0,솔야thfd,2019.06.02,1,8,4
이것이 왜 재미있는 것인가...조조로 봤는데...잠이나 더 잘걸 그랬다...,ㅇㅇseas,2019.06.01,1,8,4
최악의 영화너무 지루~~~,대경기업3833,2019.06.01,2,8,4
보는내내 불쾌한영화 그어떤부분에서도 긍정적으로 그린것은 찾을수없었으며 왜 상을 받았는지도 의문....기분좋게 들어가 찝찝한 기분으로 나오게 만든영화...,신지은sjie,2019.06.01,2,8,4
15세 관람가라기엔 좀,띵동dus7,2019.06.01,1,8,4
별로였음 좀 지저분하다 영화가,열심히삽시다idle,2019.06.01,1,8,4
보는내내 불평불만 과장 부정적 거기다 잔인함.. 그리고 범죄의 합리화.. 이게 15세라니 보고나서 기분만 나빴습니다,브레거uytt,2019.06.01,2,8,4
보지말걸 그랬다. 날씨 좋은 주말인데 불쾌하고 찝찝한 기운이 가시질 않는다ㅠ. 자녀들 보여줄 영화도 절대 아니라고 생각한다.,SEOnicc,2019.06.01,2,8,4
너무 불편하고 짜증나서 보는 내내 스트레스,꼬들밥pje1,2019.06.01,3,8,4
쓰레기. 시간이 아까웠다,RoDockbang,2019.05.31,1,8,4
기분 나쁘게 만드는 영화감동이라고는 1도 없는영화,한상희sang,2019.05.31,2,8,4
현실성이 부족한 막장 가족~훌륭한 연기~~19세 관람가야~~,복뎅이heal,2019.05.31,4,8,4
내 기대가 너무 컸나...,방민영rave,2019.05.31,6,8,4
예상밖의 결과이길 바랬는 데.. 예상대로 역시 결과가..,k010,2019.05.30,6,8,4
다시 봐도 최고입니다 기생충!,properaade,2020.02.14,10,9,5
관람객처음부터 끝까지 다 재미있었습니다. 처음 개봉했을때는 영화가 우울하고 잔인한 스타일의 영화라해서 안봤는데 전 우울한거 없이 재밌게만 봤고 잔인한 부분도 생각보다 덜했습니다. 이 분 영화 본것들은 다 재밌고 잘만들었다...,Munipets,2020.02.13,10,9,5
"집 앞에 멀티플렉스 2개 있어도 극장에 안가는 사람이, 5년여 만에 본 영화,,,; 재미있어요. 나머지는 덤이고요",디허브disp,2020.02.13,10,9,5
오스카상 수상은 아카데미 까지 PC를 의식하고 있다는 증거 . 1917이 수상을 하지 못했다는 거 부터 92년만에 '또다른' 역사를 쓴셈. 이제 부터 아카데미는 공신력을 점점 잃게 될 것이다. 영화 자...,USA마약팔이사범ben3,2020.02.12,9,9,5
이게 어떻게 15세인지..한국영화 특징 불필요하게 야한 장면 집어 넣음 배우들 연기는 그닥 인상적이지 않음 상 못받을만하다 몰입감 있고 재밌게 잘봄,리브포에버wore,2020.02.08,6,9,5
처음부터 끝까지 불편했다. 난 열심히 사는 사람이라 애초에 사지 멀쩡한 4명이 저 꼬라지로 살며서 노력도 하지 않고 타인에게 피해만 주는 기생충과 같아서 이해가 안됐다,열혈몽키play,2019.08.08,4,9,5
"과연, 진정, 황금종려상을 수상 못했다면.. 하..평론가들이란ㅉㅉ",시니cini,2019.08.07,1,9,5
차라리 노출하고 19금으로 만드시지 15입장 이라서 중2딸하고 보면서 어찌나 곤란하던지 감독을 원망해야  하는지 제작사를 앞으로 의심해야하는지 둘다못믿을 종자인지 ...,토룡백선생whan,2019.08.06,1,9,5
귀에 걸면 귀걸이 코에 걸면 코걸이. 해석 리뷰를 보니 아주 가관이네. 한 7점 정도 주고 싶은데 점수가 높아 1점. 사기꾼 얘기를 교묘하게 비틀면서 풍자할려는 얕은 수,빌헬미jwjw,2019.08.06,1,9,5
이영화가 얘기할려는것이 무엇일까?,시두kjs0,2019.07.20,4,9,5
영상미와 연기력만 좋고 모든 것이 별로였다!!보는 내내 왜 이 영화가 상을 받았는지 이해할 수가 없었음!!특히 각본은 억지스러울 정도로 공감이 안갔다.,워라밸happ,2019.07.05,4,9,5
왜 10점?? 평점도 한국영화 밀어주기가 대세인가,여과기cwk6,2019.07.03,2,9,5
지루해 죽는줄 .. 평점이 왜 높은지 모르겠음,cart,2019.06.29,1,9,5
The worst film ever seen,201811abcd,2019.06.26,1,9,5
좌파 감성 물씬 느껴지는 영화 인제 지겹다. 없는자 있는자 계급갈등 조장하는 영화 인제 나는 안본다 살아보니 가난은 누구탓도 아니더라 현실을 직시해라 젊은 사람들은 선동 그만 당했으면 좋겠다,움하하bers,2019.06.26,1,9,5
이정도의 영화가 왜 수상작인지...불쾌하다. 감독의 사상이 의심스럽다.  차라리 킬링용으로 재밌게 볼수있는 알라딘을 추천,djaq,2019.06.26,2,9,5
한국에서는 반지하 이야기가 아주 특별하지는 않았다...부잣집에서 일어나는 사건은 좀 비현실적....소파신은 좀 심함. 15세 관람은 무슨 생각으로...나올때 그 소파에서의 장면 자꾸 눈에 밟힘. 자극적이라 애들걱정....,효정맘hwas,2019.06.22,6,9,5
아 난 지겹더만 후반으로 갈수록 시간이 안가드만,해피Igeto,2019.06.18,4,9,5
봉준호 이시끼는 영화마다 찌찌만지냐?,ckm9,2019.06.15,2,9,5
재미는 있었지만 생각보다 별로. 배우들 연기는 괜찮았지만 긴장감있는 스토리외에 그닥 다른 영상미나 볼거리도 별로 없었구요..영화가 너무 뻔한느낌이라 그냥 생각을 많이 하게 만드는 척만 하는 영화였어요. 개인적으로는 ...,jiyoonsdfg,2019.06.12,6,9,5
짜증의 한계를 시험하냐?,mohi,2019.06.10,2,9,5
관람객사실사놓고안봄가나다라마바사,dldyddks15150214,2019.06.10,1,9,5
굉장히 불편했고 찝찝했음 철학조차 개인적으로 별로 안맞았다,nowt,2019.06.09,1,9,5
잼없다 그냥 티비에 나오면 보세요,dfdkfjdskluniv,2019.06.09,3,9,5
보러가지 마세요. 별 감흥도 없어요좌파정권처럼 부자빈자의 갈등 부추기는포퓰리즘만 보여줄 뿐!  기분만 나빠져요,바람과나tomi,2019.06.09,2,9,5
감독이 할말이 너무 많아 피곤한 영화. 송강호 이제 너무 많이봐서 역할에 공감이 전혀 안감. 극장에 어중이 떠중이 다 와서 기괴한 웃음소리 내는통에 집중이 안됨.,덜덜이kidk,2019.06.09,5,9,5
이건 그냥 역대급임 꼭 보세요,카멜리아sorr,2019.06.08,10,9,5
기발하고 좋았다. 보는 사람에 따라 해석이 달라지는 영화. 비판하는 인간들도 일리있다. 하지만 이런 영화는 많이 나올수록 좋다.,juic,2019.06.08,10,9,5
"뻔한 스토리,  예측  가능한 내용, 소문난 잔치  볼꺼 없는 내용임.",n97c,2019.06.07,4,9,5
영화 어스 하고 좀 비슷한 느낌...,Dragonxorg,2019.06.07,4,9,5
군함도와 유사한 전개방식의 정치색 아주 불편,장대비ohb0,2019.06.06,1,9,5
거품 잔뜩 낀 졸작ㅉ 부자도 가난뱅이도 어느쪽도   공감이  안됨,dndkgkrptkfwkyoun,2019.06.05,2,9,5
보는내내 보기가 불쾌하네요 잔인하고 15세인데 대놓고 성적애정행위도 있고 보기 역겨웠습니다,방soye,2019.06.05,2,9,5
제 인생 표절하셨네요 신고할게요,bcd4,2019.06.05,1,9,5
단순하게 보면 중반까지 재밌다가 지하실 나오고 나락으로 떨어졌다,우리흥z777,2019.06.05,1,9,5
가난한 이의 뻔뻔함과 부유한 이의 위선 중 어느것이 다 나은가를 고민하게 만든 영화,김민수voeu,2019.06.05,10,9,5
재미없어요 보지마세요,뚜기오o819,2019.06.05,2,9,5
평점 안줄수가 없네보세요 두번보세요,쵠쥬drea,2019.06.04,10,9,5
밤새 칼부림만 기억나고 짜증나서 밤잠설침,smkimsmki,2019.06.04,6,9,5
이 영화의 유일한 단점은 청소년관람불가가 아니라는 점이다.청소년들에게 감염시키기에는 담은 내용이 너무나 무겁다,성태씨brea,2019.06.04,8,9,5
"독특한 인물과 뜻밖의 이야기. 놓을 수 없는 긴장감. 적절한 유머. 등골이 서늘한 기시감. 만족스러운 작품이다. 하지만 극장을 나오면서 느낀 불쾌감의 정체는 무엇일까. 파국으로 치닫는 절정과 결말인지, 이야기의 끝에...",HeyAdalysapi,2019.06.04,4,9,5
저는 칸의 정서와는 맞지 않는듯 합니다.. 와이프랑 둘다 찝찝한 기분으로 나왔어요.. 중간까진 재밌는데 후반부는 그야 말로 3류 막장.. ㅠ,엄지boxe,2019.06.03,6,9,5
아~~겁나 재미없음 . 송강호 아재 출연이라 봣는데.ㅠㅠ 갠적으로 별루엿어요 ㅠㅠ,미니미도도양coma,2019.06.03,2,9,5
가난한사람은 냄새나 풍기고 이상한 피해의식에 사로잡혀 살인도 서슴치 않는 상종 못할..이라고..선을 그어 버리는 듯 했다..마음이 계속 안좋다. 본걸 후회한다,youn,2019.06.03,2,9,5
개취지만 이 영화가 특별히 뭔가를 잘 표현했다고 생각들지는 않더라.  솔찍히 왜 이 영화가 수상을 했는지 난 이해 못하겠다,kym0,2019.06.03,6,9,5
전형적인 한국영화..,joyjell,2019.06.03,1,9,5
찝찝한 영화. 보고나서 기분이 이상한영화. 내돈주고 이런기분 느끼려고 영화를 본게 아닌데 너무 재밋다고 스포도 찾아보지말래서 하나도 안찾아보고 봣는데 ;; 나는 이제 두번다시 봉준호 감독의 영화를 안볼것이다.,룰루띠kiki,2019.06.03,2,9,5
상을 받은거에 비해 형편없다고 생각된다,현진a687,2019.06.03,2,9,5
정말 재미있다고? 돈아까워서 봤다. 선을 지켜야지! 이영화는 선을 넘었섰다!!,쓸애기kimy,2019.06.03,1,9,5
넘야한데 왜15세임 ㅡㅡ미친거임,이냔이녀sinw,2019.06.02,6,9,5
"칸느의 기준이 엽기스러움인가?  평점이 높아 별하나  준나, 객관적 평점은 7.0정도 된다",거여동최도사lica,2019.06.02,1,9,5
"사실 6점이 적당할 것 같습니다. 여러의미를 두려했으나, 서로 연결성도 부족하고 스케일도 작고 반전도 예상대로이며 , 생략된 의미장면도 너무 많습니다  저는 비추입니다",폭풍의언덕edit,2019.06.01,2,9,5
15금은 보호자 동반 시에 볼수 있다기에 13살인 딸을 데리고 보러 갔습니다..영화 내용은 매우 좋았고 느낀 감정도 굉장히 좋았는데..이건 19금 일듯합니다.갑자기 부부끼리 ㅅㅅ를 해서 당황했습니다. 자녀를 데리고는...,정미래jml7,2019.06.01,4,9,5
청소년들이영화보고나면 무슨 생각을 할까요?  빈부 차의 갈등 인간의 모순에 대한 지적 다 좋은데 어제 영화 본 후 머리속에 남는 건 글쎄요. 시계방향**사줘 이선균손동작 정말 15세 영화에 절대 어울리지 않는다고 봅...,fortunatenarc,2019.06.01,6,9,5
생각보다 별로....,xxxminj,2019.06.01,1,9,5
보는내내 나만 불편했나?,크랩jms2,2019.06.01,2,9,5
5내평점송강호의 충동적인 살인 행태는 좀 오버임.. 봉감독의 스토리는 아직도 좀 유치하게 오버하는 경향이 강함... 뭔가 메시지를 억지로 만들려고 하는 느낌.. 그게 좀 거슬림...나한테는,jack,2019.05.31,5,9,5
등급 뭡니까 ㅡㅡ 가족이랑 관람금지,EvanKimggg1,2019.05.31,1,9,5
너무한다 19세 이상 관람가잖아 조카들 데리고 갔다가 민망해죽는줄;;,사랑한다내꿈아eulb,2019.05.31,2,9,5
영화 보고 나니까 기분이 완전 우울해짐,사마리안musi,2019.05.31,1,9,5
"관람객일단 유명해져라, 그렇다면 사람들은 똥을 싸도 박수를 쳐줄 것이다.",자유pkh2,2019.05.31,5,9,5
"칸영화제 . 에서 . 수상한게, 하나도 수상하지않은 .웰메이드 영화 . 꼭보세요 ^^",wnsg,2019.05.30,10,9,5
"가난혐오를 꼬집고 싶은 건지, 남의 가난을 포르노 삼아 즐기고 있는 건지 의문이 든다. 묘하게 불쾌하다. 감독이 표현하고자 한 건 전자인 것 같으나 이런 시혜적인 시선과 태도를 느낀 일부 관객들은 후자로 느낀다. 이...",꾸루룩ssg6,2020.05.21,4,10,6
스포일러가 포함된 감상평입니다. 감상평 보기기대만큼의 영화는 아니었다.우선 현실과의 개연성이 좀 떨어지는 있을수있을법한 내용이라는것 영화가 말하고자하는건 알겠는데 좀 과장미가 있고 사실이 조금 확대된듯한 스토리 그래도 전개가 잘 되고 몰입감있게 진행되는건 있...,happ,2020.02.16,6,10,6
지금까지 봤던 어떤 영화보다 수준 높았다 개인적으로 한국영화를 무시하고 싫어했으며 강제적인 단체 관람 했던 한국영화들(암살 등등)을 보고 한국영화 수준은 하류라고 생각했는데..봉준호는 대단한 분이구나 리스펙트!!!,레몬밤offi,2020.02.14,10,10,6
영화 이상하게 해석하는 반동분자들 많네ㅎ 빈부격차 사회악이긴 한데.. 그래서 혁명할까? 부자들 싹쓸어 죽이고 반지하 로동자들과 농민들이 죽창 들고 일어나서 사회정의 실현해볼래?,IsthisRealrequ,2020.02.09,4,10,6
가난한 사람들을 굳이 기생충으로 비유한 이유가 뭘까?  현실 세계에서 기득권층이 기생충일 경우가 더 많은데..가난해도 남의 꺼에 손안대고 정직하게 살아가는 이도 널렸는데..봉준호감독은 이 영화를 기득권층이 맘에 들어...,nina,2020.02.06,6,10,6
난 글쎄 잘 모르겠다..감독이 의도하는 바가 대충 뭔지는 알겠는데..어느 골방 작가의 상상의 나래에 존재하는 소설속의 이야기를 어거지로 영상화 했다는 생각밖에 안든다. 한 마디로 과하다..그닌깐 의미를 전달하기 위한...,seuseun,2019.12.25,4,10,6
영화는 해석하기 나름이지만 이영화는 아니다.북한앵커 성대모사 할때의 멘트나 JTBC뉴스...이미 감독이 어떤생각으로 영화를 만들었는지 다분히 느껴진다.,낙무아이song,2019.08.07,1,10,6
평점조절좀 합니다 7.5점 적당 개연성이 얼어죽네,박지하pjho,2019.06.20,1,10,6
호불호가 갈릴 영화. 이거 볼바에 차라리 알라딘을 2번 보는걸 추천함. 찝찝하고 영화 해석하는거 싫어하는 사람은 비추한다.,SJDNtaeh,2019.06.16,4,10,6
"가난하다고해서, 반지하에 산다고해서 당연히 냄새가 날거라는 설정부터가 불편하네요부자도 안씻으면 냄새납니다부정적인 고정관념에서 시작해서 현실비판으로 끝나는……그리고 15세이상 등급은 아닌것같네요아이랑 같이 절대로 안보...",박영수ys99,2019.06.15,2,10,6
나만 별로였어?...,아연dkdu,2019.06.10,6,10,6
답답하고 답답해 이 영화가 왜  평점이 높은지~,atom,2019.06.08,1,10,6
글쎄 ..이게재밋다?  올드보이.악마를보았다가 수작이였다는걸 다시금 느낀다,물바람shdm,2019.06.08,1,10,6
그냥 암덩어리보는 느낌,신의한수rite,2019.06.08,2,10,6
지루...이런영화 지겹다...저예산영화같음.,두루킹fk35,2019.06.06,1,10,6
사기꾼가족이 멀쩡한가정 박살낸건데 왜 동조해주는가지?,향청eus0,2019.06.06,2,10,6
이게 15세라고? 후하네. 찝찝하고 기분 나뿐 영화,llllljjjjjqord,2019.06.05,6,10,6
충격적이다 일어나지도 않을 일이다,Jameswsj2,2019.06.04,2,10,6
그냥 보지말껄!  보고 실망감이 더크다,shj3,2019.06.03,2,10,6
돈내고 볼영화는 아님...어이없네,가게이름ss둘ssam,2019.06.02,4,10,6
칸영화제 상 어떻게 받았는지 모르겠다 어린 아이 둔 가족이 같이 보긴 좀;;; 등급을 청불로 바꿔야할 것 같은데 그깟 칸영화제가 뭐라고 15세로 하냐 상도 안 받았으면 청불로 개봉했겠다 가족들이랑 보는데 내가 더 쪽...,양소연ktty,2019.06.02,1,10,6
이야기 전개에 별로 중요하지도 않은 베드신은 왜 넣은 건지?? 미성년자랑 성인이 사귀고 키스하는 장면은 왜 넣었는지?,LIVsuuu,2019.06.02,1,10,6
저는 기생충 불호인 입장 가족들이 부잣집 들어가는 방식에서  불쾌했고19씬 굳이 나왔어야 했나 그리고 영화보면서 불편하고 짜증까지 난건 처음임..개인적으로 이번 영화는 감독에게 실망한편,가을나무그늘에서rmfl,2019.06.01,1,10,6
윽 15세로 낮추어 더 어린 사람들이 많이 보길 바라나?,탱자양ppon,2019.06.01,2,10,6
잘 만들었다.하지만 보기 불편하고 무섭다.,장예솔yeso,2019.05.31,1,10,6
송강호의 행위에 대한 개연성 부족,hjhj,2019.05.31,2,10,6
"자극적인 소재와 과장, 일반화",마스터삼국kyos,2020.02.17,4,11,7
한국영화로 치면 재밌는 편에 속하지만 그냥 흔한 블랙코미디수준 근데 이게 무슨 세계적인 작품이니 그건 오바다.,에이아이01sh,2020.01.13,7,11,7
쓰레기 같은 영화 어찌 이런 영화에 상을?공신력 떨어지게시리,땅콩dong,2019.07.31,1,11,7
벌써  횟수로 3달째다  일수로는  43일째고.. 아따 천만넘으려고 드럽게 추잡스럽네.. 거의 보는 사람도없는데 .. 상영관 독차지 하고 뭐하는짓이고  천만영화 타이틀이 그렇게 중한가,눈꽃Floriajjea,2019.07.12,2,11,7
좋게 포장된 막장. 돈이 아깝다,막사발dnpq,2019.07.02,1,11,7
반지하에사는 가난한 백수네식구가 갑자기 영어 미술치료 운전 요리.. 엄청난실력자로 뿅~변해버리고 손목한번잡으니 한눈에반하고 주인사모님은 그냥 씹호구고 갑자기 밑도끝도없이 지하실남자 짠 등장하고 그때부터 개싸움나다가 ...,용팔이wori,2019.06.12,5,11,7
저는 별로였네요 저만 그런생각 하는건가요?,드록바밤바cho2,2019.06.09,1,11,7
야한장면 잔인하고 폭력적인 장면이 있음에도대형제작사를 만나 15세관람가가 된자체가 이영화의 오류다. 술판을 엎어놓은 쓰레기들은 온데간데없이 사라지고 쾌쾌한 냄새는 맡으면서 술냄새는 못맡는 이유는 도대체 무엇인가칸영화...,ROONEYhoonpsh3,2019.06.08,1,11,7
정말 비현실적이고 내용도 그지 같은 몇년만에 돈 아까운 정말 영화같지 않은 영화다. 헐~~~,롱정j004,2019.06.08,2,11,7
봉준호는 이제 괴물같은건 만들지 못하는 것인가.,분더바dieg,2019.06.07,1,11,7
관람등급이좀... 또 평점에거품이많은듯.잠시뒤로떨어져 바라볼필요도.,sjho,2019.06.07,1,11,7
스릴러는 인정합니다. 근데 뭐가 많은 생각이 들게ㅜ만드는지는 모르겟습니다. 앞구르기 하면서 봐도 송강호네 ㄱㅏ족이 OOO들인데.,winifridcon-,2019.06.07,2,11,7
마지막에 뜬금없는 사람을 죽이는건 영화를 폐급으로 만든다.,세리오스sile,2019.06.06,2,11,7
왜캐 평점좋은지 이해불가... 단순히 그냥 보기엔 묵직하고 기분만 찜찜,cute,2019.06.05,2,11,7
학력위조해서 사기치고 일자리 뺐고 사람 죽이고 유기했다가 집주인 아들 거품물고 애아빠죽이고 한가족 파탄내서 돌들고 요행이나부리다가 결국 반지하 컴백해서 신세한탄하는 영화에서 삶과 신분이 왜나옴?,우히히soq2,2019.06.03,2,11,7
뭐냐 이게 기생충 놈들 다 뒤졋으면박사장은 노력과 생산적인 활동으로 지금의 부를 쌓앗은데벌레같은 놈들 일도 안하고 게을러 터져가지고는 남탓하고 ㅁㅊ,kera,2019.06.03,1,11,7
되는대로 보다는 계획있는 삶을 살자,rnwl,2019.06.03,1,11,7
가난한자들의 피해의식은 언제나 가난하지 않은자를 향한다,aika,2019.06.02,1,11,7
이 영화를 보고 스포하는 친구를 보면 그 우정을 소중히 여기세요.,최준섭chlw,2019.06.02,1,11,7
기분더러운 영화 올해본 영화중 최악,agneskshn,2019.06.01,2,11,7
블랙코미디?? 나랑 안맞나보다.. 억지스러운 개그  연출 때문에 짜증나서 보다가 뛰쳐나가고싶을정도,dbal,2019.05.31,1,11,7
옥자급 노잼 ㅋㅋㅋ어휴 알바쉐리들,송경호news,2019.05.31,2,11,7
책임감없는 가장못배워쳐먹어 욕만하는 부인군대갔다와서 수능준비만 몇 년 하는 OO아들부모앞에서 거리낌없이 욕하는 창x같은 딸영화보는 내내 불쾌했다.염치없고 본인만 생각하는 이기적인 가족 사기단쓰레기같은 영화부자들 싫어...,didt,2019.05.30,1,11,7
방금 영화보고 충무김밥 먹음 ㅋㅋㅋ 봉준호 스럽긴한데 여전히 살인의 추억을 넘지는 못하는듯,ktk7,2019.05.30,8,11,7
상 어떻게 받은거냐?,적사gliz,2019.05.30,1,11,7
최하층민 입장에서 이걸 보고 즐겁거나 감동을 받겠나? 수10년 계속되는 아파트 값 올라도 너무 오른다는 기사를 내며 걱정스러워하는 척 돌아서서 아파트값 올라 투자성공해 기분이 째지구나? 현실 진단 묘사의 방법은 무한...,김기자olyo,2020.01.12,1,12,8
전화위복의 끝은 총체적난국,플레이원주neon,2019.12.08,1,12,8
부자감독 부자배우들이 만든 서민풍자영화,하늘아이mc1s,2019.08.12,1,12,8
이 감독은 왜 항상 영화에 메세지를 넣는 걸 좋아할까. 그것도 그리 대단치 않은 메세지로. 자신이 비판하려는 그것의 구조와 자신이 만드는 영화의 구조가 비슷하게 짜여져있음을 알아채지 못하는가?,LittleForestkht5,2019.08.11,1,12,8
감독과 배우들에게 미안하지만 이 영화가 왜 호평을 받는지 이해할 수 없다. 아버지와 엄마 그리고 아들과 딸 모두 땀 흘려 돈을 벌 생각도 않았던 것 같고 가족 구성원 모두 비인간으로 보인다..,조은아빠new3,2019.08.07,1,12,8
평론가들 죄다 9~10점 준거 웃긴다. 황금종려상 받기 전에 평점 주도록 했어야했는데,강화지yugo,2019.06.29,2,12,8
평점이 너무 쓸때없이 높다... 적당히 7점대가..,서민이다djfa,2019.06.22,1,12,8
기분 더러운 영화 보지마세요,이수민lsm0,2019.06.14,1,12,8
관람객감독의 의도가 무엇이든 보는내내 불쾌하고마음이 불편했다.,yaon,2019.06.11,2,12,8
최악 인상 찌푸리면서 본 영화,ㅎㅎㅎonly,2019.06.10,1,12,8
난 별루던데요..포스터의 강렬함에 비해서 내용은 별루였네요,긍정의 힘love,2019.06.09,4,12,8
뭔 ㅡㅡ 평점 저게말이대냐 ㅡㅡ 선동 존내게 당햇구만,싸비올러sksk,2019.06.09,2,12,8
왜높은지 이해불가; 보는내내 기분이 더러운영화였어요ㅡㅡ,쁘띠윤peti,2019.06.07,4,12,8
이정도 영화로 상받을 만한 영화는 널리지 않나?,ours,2019.06.06,1,12,8
불쾌한 영화 괜히봤네. 가난한 사람들은 OO같았음,댕구whoa,2019.06.06,1,12,8
솔직히 실망이 너 큰 영화 .... 그리고 조급했는지 후반내용이 너무 부실했네요 3시간 짜리 영화를 만드시지 그냥 ..,jackyjack,2019.06.03,4,12,8
좌빨 대깨문들만 빨아주죠 ㅋㅋㅋ,이상수lkki,2019.06.03,1,12,8
"신랄한 풍자 ?   ㅋ  소문난  잔치에 먹을것  없다 라는 말이  실감나는 영화~~  다 보고나와서  한 혼잣말 ""이거 뭐야 ?""   초딩딸과 같이 보기엔   19금 단어와 내용 나와서 급당황 !! ...",saesaec,2019.06.02,1,12,8
장난안치고 후기 처음 써보는데 괜히 봤다 진짜 기분 엄청 찝찝. 안본눈삽니다.,D4Uming,2019.06.01,1,12,8
살인을 정당화하는 영화소문난 잔치에 먹을거. 없음,s350,2019.05.31,1,12,8
빨갱이들이 좋아하는 영화?,적월wsb1,2019.05.31,1,12,8
