review,nickname,dt,star,gong,bgong
"그래봤자 이 영화를 만든 감독,연기를 한 배우는 모두 고급주택에 사는 사람들, 영화를 보는 우리는 반지하에 사는 기생충, 이 기생충들의 피같은 돈으로 다시 더 높은 곳으로 올라가 가난으로 먹고 사는 그들. 부자들이 ...",지선경love,2019.05.31,8,4201,1004
아무 계획없이 보다보면 선을 넘어버리는 영화,수지csj9,2019.05.30,10,3276,148
이정은 배우가 송강호 가족들 약점 잡기전 그 웃음 그 눈물나는 웃음이 잊히지 않는다  그렇게 살기 위해 굽신굽신 웃음을 팔아야 하는 약자들의 삶,Fear the Beardthe_,2019.05.30,10,3071,72
영화: 기생충 장르: 봉준호,이재형jsho,2019.05.30,10,3258,304
영화보다가 호흡곤란이 와서 나가고 싶었다 두번 보기는 싫다 그냥 이상했다 공포영화도 아닌데 왜 이렇게 심장이 뛰지,ehdd,2019.05.30,10,3094,230
가난의 악취는 죽음으로도 지울 수 없을 정도로 너무 진했다.,ggst,2019.05.30,10,2949,106
"반지하에 살았던 사람으로써, 처음부터 끝까지 불편했다. 반지하에서 와이파이를 잡던나, 일상이다보니 그것이 가난한 나의 모습 중 하나임을 크게 느끼지 못했다. 내리는 비에 당연히 운동화가 다 젖듯이. 그것이 나의 현실...",soso,2019.05.30,8,2897,117
냄새난다는 말은 때때로 가난하다는 말보다 더 큰 분노를 일으킨다.,오스티어itot,2019.05.31,10,2565,60
가난을 아는사람에게는 너무 잔인한 영화,wjdw,2019.05.31,6,2522,68
끊었던 담배 한 대 태우고 싶다. 이땅의 늙은 아버지들은 지금도 모르스 부호를 보내고 있다. 그것을 아는 자식들도 어찌할 방법이 없다.,joos,2019.05.31,10,2530,122
원래 있던 자리로 돌아간 수석처럼 기택네 가족도 원래 있던 반지하에서 계속 살아가는 것이 순리였던 것일까. 분수에 맞지 않은 옷을 잠깐 입었던 것처럼.,김지은redp,2019.05.30,10,2470,87
그렇게 최우식은 평생 그 집을 사진 못하겠지....이게 봉준호 감독의 메세지일수도?,17to,2019.05.31,10,2430,89
다연기잘하는데 조여정이진짜돋보였음 그렇게잘하는줄몰랐다.  그리고 오스카에서도 좋아할각임,natamfail,2019.05.30,10,2369,80
초반에 개웃김 중반에 개긴장 후반에 개충격,LOTTEllua,2019.05.30,10,2345,83
"관람객시나리오, 연출, 배우 모두 좋았다.소름끼치게...",2020fast,2019.05.30,10,2451,212
그냥 재밌다고 말하기엔 너무 절망적이라 슬픈현실...,STUDiOBOTONstud,2019.05.30,10,2272,88
"제시카 외동딸 일리노이 시카고, 과 선배는 김진모 그는 네 사촌",시작sang,2019.05.30,10,2189,107
관람객자조적인 웃음과 눈물이 난다. 영화가 끝나고도 이어지는 씁쓸한 뒷맛..,화재toda,2019.05.30,10,2197,150
"보는 내내 너무 낯 뜨겁고 불편했습니다. 살아오면서 저는 기택이기도, 박사장이기도 했어요. 아침 새벽 지하철 1호선을 타며 누군가를 째려봤었고, 가진 게 많은 사람을 힐난하며 깎아내렸죠. 말그대로 발가벗겨진 기분입니...",알로하aloh,2019.05.31,10,2069,66
15믿고 중고딩자녀랑 같이보러가면 다소민망하고 낭패볼수도있습니다 참고하시고 19가 맞는듯 영화소재나 내용은만족합니다,해태홈런볼espa,2019.05.30,7,2190,212
"이렇게 알기 쉬우면서 이렇게 잔혹한 우화도 없었던것같다. 다들 불편해서 안하려고 밀어둔 이야기를 굳이 들려주는데 후련하게 풀어주지도않는다. 근질근질하게,더 불편하게 만든다. 수석처럼 터억 안긴다.",시타syda,2019.05.30,10,1958,77
"수없이 내려가야 하는 계단, 집에서 제일 올라가 있는것은 변기",tkzn,2019.06.01,10,1888,38
영화보고 집 와서 짜파구리 끓여 먹는데 갑자기 씁쓸 ...한우가 없다,상상예찬skyh,2019.05.31,10,1899,66
채플린이 그랬지 .. 인생은 멀리서 보면 희극 가까이서 보면 비극이라고..,grea,2019.05.30,10,1864,107
한번쯤은 나프탈렌 냄새로 사람을 차별해본 기억을 살아나게 해준 영화.계획대로 되지 않아 막 사는 것은 가난한 사람들의 사고방식 그리고 그것이 후대까지 이어져오며 가난은 계속되고 반지하를 빠져나오지못함 그리고 이게 현...,22222abcd,2019.05.30,8,1882,135
"계획없이 살게된 기성세대와 계획만 세우는 자식세대. 고급주택과 반지하, 지하실로 대변되는 사회상. 누군가 깔깔깔 웃는 동안, 누군가 꺼이꺼이 울고 있다.",다시서점dasi,2019.05.30,10,1776,83
잘 만든 영화인건 맞고 큰상도 받아서 의미도 있지만.. 나처럼 이 영화가 안맞는 분들이 있을듯... 마음이 불편해지는 영화,다니엘thx2,2019.05.30,7,1943,253
시간 가는 줄 모르고 보았으나 영화가 끝나자마자 느껴지는 씁쓸함,은빛깃털vari,2019.05.30,10,1589,70
똥물이 넘치는 변기에 앉아서 담배를 태우는 박소담. 영원히 잊지 못할 장면. 최고다.,용민hint,2019.05.31,10,1567,61
관람객부자들도 기쁨과 슬픔과 사랑과 두려움을 느낀다. 부자들은 의외로 순진무구하고 그들의 폭력에는 악의가 없다. 빈부격차의 폭력성은 이토록 잔혹하다.,Toddwjhy,2019.05.31,10,1586,85
결국은 우리 모두가 기생충 계획은 한번도 성공한적이 없고 될데로 되라 우발적 감정적으로 대처.결말은 항상 좋지 않고 그 책임은 대를 이어 넘겨지지...,브라이튼goeu,2019.05.30,10,1639,139
"이선균이 코 찡그리는 그 장면, 그 이후 상황. 역린을 건드린 듯 처절했다. 그 순간 송강호의 표정이 잊혀지질 않는다.",입삐dbn7,2019.05.30,10,1513,46
묘한 기분이다... 어느삶도 행복해보이지 않는다,멋진남자dado,2019.05.30,10,1514,72
"관람객특별히 미워하고 증오할만한 '악인'이 한명도 없기에 더욱 답답하고 우울했던 영화, 세상의 불평등 자체가 인간의 본성에 의한 숙명이라고 말하는것 같았기에...",wow9,2019.05.31,10,1496,72
부모님이랑 보러 가지 마세요.,연구자hhpp,2019.05.30,10,1494,79
관람객인터폰에 이정은이 등장한 순간부터 장르가 바뀐다,AUNKmkor,2019.05.30,10,1305,39
가난의 냄새가 너무 서글프다.,그러나viev,2019.05.30,10,1272,32
나는 이 영화에 몇 번이고 내 자신을 투영한 내가 미웠다. 그의 상상력에 감탄만 나온다.,아따조타chri,2019.05.30,10,1317,115
영화보는내내 집중할수밖에없네요~최고!.칸 대상감 맞습니다!,jops,2019.05.30,10,1348,191
오랜만에 혼자가서 본 영화 부자와 거지를 이중적으로 그려놓았지만 결국 모두가 이기적이고 절대 선은 없다는것을 느꼈습니다. 근데 얘들 데리고 보는건 비추천합니다. 보는 내내 이게 왜 15세관람영화인지 모르겠네요 19세...,ZenKaijuho,2019.05.30,9,1219,99
이정은 배우의 기괴한 연기가  꽤 여운이 길구려.,jkui,2019.05.31,10,1140,30
우와.. 영화 보고 오만가지 생각이 다 들거라고 하시더니.. 진짜 오만가지 생각이 다 든다,너울hyer,2019.05.30,10,1130,47
가정부아줌마 비오는날 얼굴다쳐서 왔는데 나중에 얘기해준다해놓고 말안해줌..고짓말쟁이,tear,2019.05.31,8,1183,101
충격받았음.. 내용이 너무 신선했고 .. 절대 웃긴 씬이 아닌데 웃는 몇몇 관객한테도 충격받았음..ㅋㅋ,강수진sood,2019.05.30,10,1262,213
부자들이 가난 팔아 받은 상,TheBestLifetheb,2019.05.31,6,1387,345
관람객말이 필요없는 영화 모두 꼭 한번쯤은 봐야할법한 영화입니다. 그리고 조여정이 개인적으로 크게 한껀 한것같습니다,송승준thdt,2019.05.30,10,1126,104
내가 다 비참해지는 영화,유희puh9,2019.05.30,10,1024,40
"뒷맛이 너무 씁쓸하다. 집에 오는 내내, 집에 와서도 계속 마음이 무겁다. 하지만 괜찮아져야지. 맘 껏 씁쓸해할 시간도 없으니. 돈 벌어야하니까. 그렇게 100년을 숨만 쉬고 모아도 그런집은 월세로도 못살겠지. 허허...",강소영hell,2019.05.30,8,1019,52
당신도 사람을 냄새로 판단했던 적이 있을것이다.,han9,2019.05.31,10,988,37
"설국열차에서 하층민이 선을 넘을수 있다는 희망을 보여줬다면, 기생충에서는 하층민이 선을 넘은 댓가를 보여준다",문죄인민공화국fetx,2019.06.01,8,957,42
헐리웃 체계로 가는 한국영화 산업의 좋은 본보기,박성주psj9,2019.05.30,10,1102,187
영화 등급 잘못나온듯 청소년이 보기에 적절하지 않습니다 ..,도리도리lchy,2019.05.30,9,982,87
관람객금방 보고 나왔는데...봉준호감독 영화인데 왜 박찬욱감독 영화를 본 느낌이지.어쨌든 최고다. 봉드로 역시 천재!!이정은님 연기상 줘야한다 진짜,flytothemoonsong,2019.05.30,10,964,79
관람객충격과 공포 절대 스포당하지 마세요.,바나나펀치kolp,2019.05.30,10,928,69
그놈의 대왕 카스테라!,wkto,2019.05.30,10,891,40
서로의 선을 넘지 않으려던 두 남자. 그러나 그 선을 누가 먼저 넘기려 했는지는 아무도 계획하지 않았을 것이다.,David Yoyhg5,2019.05.30,10,929,99
정말 가난이 사람을 기생충으로 만들었나 부유해도 벌레같은 사람들이 있고 가난해도 행복을 쫓는 사람들이 있다 환경이 사람에게 영향을 주는 것은 맞지만 모든 사람이 가난을 겪는다고 벌레처럼 살진 않는다 극빈층을 마치 벌...,pbjnine,2019.06.01,1,1281,489
관람객영화가 끝나고 집으로 돌아왔다. 지하철을 타고.,HappizzAhapp,2019.05.31,10,829,42
의사같지않은 의사 경찰같지않은 경찰눌러붙은 기생충들,1111wern,2019.05.30,10,856,72
ㅠㅠ 촤고 말이필요없는영화,ojh1,2019.05.30,10,961,205
지금 우리들의 자화상을 블랙코미디로 승화시킨 슬픈 걸작이다.우리가 어떻게 사는게 잘 사는 것일까?돈이 많은 사람들과 가진거 하나 없는 가난한 사람들에게 바치는 봉준호표 이솝우화.,MacGyVerjeep,2019.05.30,10,809,56
처음엔 웃으면서 보다가 뒤로 갈 수록 웃을 수 없었던,넌누구냐qkrr,2019.05.30,10,765,27
가난한 반지하의 냄새는 지울 수 없고 그 냄새를 혐오하는 부자들의 태도는 감출 수 없다,에르네스1don,2019.05.31,9,769,34
이정은님의 여우조연상을 위하여!,chyl,2019.05.31,10,761,31
2시간이 넘는 러닝타임이 금방 가요. 근데 15세 안돼~ 19세는 되야돼요.,아쿠아마린ysch,2019.05.30,9,782,68
선을 긋고 싶은 자들과 선을 넘고 싶은 자들이 만들어낸 희비극,갓두산홧팅onod,2019.05.30,9,740,29
영화관에 초딩들 들여보내지마세요 ㅠㅠ 옆옆자리 초딩이 보던데..15세도 후한데 그것보다 어리면 안될거같아요,youiyoui,2019.05.31,10,734,28
초청되어 기립 박수 친 사람들은 다 부자일텐데. 공감보다 주위 사람 조심할 듯,그론츠modu,2019.05.30,10,737,33
이 영화를 만든 봉감독의 의도가 궁금하다. 도대체 관객에게 무엇을 전달하려 했던걸까? 현실에 대한 씁쓸함은 있지만 깨달음은 없다(적어도 나에게는),그럴듯한별명doro,2019.05.30,8,833,180
"장혜진(송강호 부인), 이정은(전 가정부) 배우님들 연기도 너무 좋았습니다!",Zoeyka23,2019.05.30,10,679,33
내리는 비를 바라보며 운치를 느끼는 사람과 그 비를 온몸으로 발로 쓸어가는 사람. 그 사이의 괴리. 무겁다. 장르는 가족극? 아니 봉준호.,손가영rkdu,2019.05.30,10,669,37
그냥 저냥 볼만한데 보고나면 기분이 별로 안좋아짐,주형leej,2019.05.30,6,763,133
관람객노플랜 노계획 우리인생은 계획대로 안된다는 말이 와닿았습니다,dydf,2019.05.30,10,654,43
이게 15세 이라고? ? 우리나라 심의 기준은 알다가도 모르겠구나,SCkrre,2019.05.30,8,651,42
압도적인 스토리에 감탄하며 나왔으나 곰씹어볼수록 결국엔 송강호 가족 (사회적 약자)을 이용해 봉준호가 무슨 말을 하고 싶었는지 궁금하다.  살려고 아등바등 노력해도 결국엔 기생충이 될 수밖에 없는 사회적 약자의 삶....,핍kry_,2019.05.30,6,706,110
조여정 하드캐리한 부분 꽤있었음. 그 아줌마역도.,rocketeeryeli,2019.05.30,10,626,31
"관람객다수의 관객들이 '나는 박사장의 계층도, 기택의 반지하 계층에도 들지는 않는다'고 안도할 수 있을까요? 우리는 모두 나보다 낮은 계층의 사람들을 향해 냄새가 난다고 속으로 깔보는 두 얼굴을 가진 건 아...",보통씨cath,2019.06.01,10,627,36
지독하게 불편하고 괴롭다.  하루를 망쳐버리기에 딱인 영화. 뛰어난 작품이고 잘 만든 영화인건 분명하지만....두번 다신 보고 싶지않다,arietelsmi,2019.05.31,4,737,155
정말 최고의 영화!! 역대급,dark,2019.05.30,10,746,170
참으로 시의적절하다.,제로섬bigw,2019.05.30,8,624,49
아.. 돈벌려고 19금 안한건가이게 어떻게 15세냐... 진짜 등급 좀제대로 매기삼,별빛노래sonm,2019.05.31,1,693,139
이게다 이영ㄷ 피디 때문이다,우bizz,2019.05.30,10,591,54
똥물이 나오는 변기와 비에젖지않는 텐트의 대기. 지하철서 나는 냄새. 영화 내내 저런집에서 살고 싶다는 욕망이 관객인 나도 치밀어올라서.  너무 비극적이고 불쾌했어요. 별두개 뺀것은 그냥 기분이 나빠져서 개취로 뺀거...,Bayoran,2019.05.30,8,597,67
"가난하면 반지하에서 사는가? 가난한 사람들은 꼭 운전기사,가정부여야 하는가? 가난하면 무계획으로 살고, 냄새나는사람인가?글쎄 그건 봉준호 기준인거같다. 하루하루 열심히 사는 사람들이 이런 영화를 보고 자괴감이 들까봐...",개미90mi,2019.05.30,1,1299,778
영화에서 19세 냄새가 나는데왜 15세일까요. 그거 빼곤 대작 확실합니다.,강단2jin1,2019.05.30,10,527,47
"슬프고 현실적인 호러. 영화 내내 흥미롭고 충격적이었던 한편, 마음 한켠은 무겁고 씁쓸했다. 그리고 웅장함. 다혜와의 과외에서 나온 pretend라는 단어가 기억에 남는다. 살기 위해 무언가로 살아가는 삶.",별밤wooj,2019.05.30,10,496,26
청소년이 보기엔 적절하진않은데 쾌락의 장면과 그걸 숨죽이고 살떨리게 지켜봐야하고 소리를들어야만 하룻밤을 무사히 넘길수있는 모순이 씁쓸하게한다 민망한 장면이라고 저평받을 장면은 결코 아니다,리움tnst,2019.05.31,10,487,35
"촌철살인. 정말 문학작품 하나 읽는 느낌이었다. 줄글을 그대로 영상으로 옮겨놓은 듯한. 은유, 함축, 상징, 다채롭게 다양한 것을 버무려 담아낸 아이러니하고도 씁쓸한, 그러면서 시리게도 날카롭고 솔직한 영화.",wy03,2019.05.30,10,475,25
믿고보는 송강호ㅎㅎㅎㅎ,슈갬rhkd,2019.05.30,10,615,171
관람객인정하기 싫지만 현대의 계급 사회를 조명.,생각이현실이 된다kkbb,2019.05.30,9,467,36
보고 나오니까 너무 불쾌해...,whenever999a,2019.05.30,6,479,53
40년 영화광이었던 전세계 장단편 영화를 봐왔던 나에게 크나큰 지적 빅뱅을 안겨주었다. 그어떤 깐느 황금종려상 아카데미상을 휩쓴 영화들 보다 여러분을 환상의 세계로 끌고 들어갈것이다.말로 형용하기가 어렵다 정말.,유니spea,2019.05.30,10,626,200
영화중 술먹고 도망칠때 계단을 내려갈때 가장 높은곳에서 점점점점 내려가는 연출 개인적으로 맘에 너무듬 ㅎ 그가족에게 현실을 직감해주게 하는 그런 느낌이였음,동재kdon,2019.06.01,10,426,22
내인생  최고의 영화였다.소름돋는다,알콩달콩qw82,2019.05.30,10,542,138
마음이 어렵다. 좋은 평이 많은데 안보는게 좋았지 싶다.,재무상담사이재문jaem,2019.05.30,2,513,115
자꾸 내 몸 어딘가에서 냄새가 나는 것만 같다..,재미르huso,2019.05.30,10,419,28
초반: 이게 황금종려상? 중반부터 걸작의 방식은 이런거구나 하면서 보게 된다.자막없이 자국의 언어로 이런 영화적 즐거움과 고양감을 느끼게 해준 영화'기생충'관계자들한테 경의를 표한다.,kimj,2019.05.30,10,432,43
"관람객마지막 기우의 ""아버지, 전 계획을 세웠습니다.""하는 대사가 오래도록여운에 남을 것 같습니다. 계획 없이 사는 아버지와 식구들. 그 속에서 나름대로 나은 미래를 계획하는 기우. 시대의 초상을 적나라하고...",소윤sis0,2019.05.31,10,418,45
소름이 돋는다 수상의 이유를 의문없게 만든다,가보트elxm,2019.05.30,9,410,49
흙수저 출신인 내가 보기엔 너무 사실적이라 불편한 영화.,원더우먼este,2019.05.31,10,385,27
봉준호의 연출과 송강호의 연기다. 더 이상 말이 필요 없다!,지철이pgrk,2019.05.30,10,465,116
결정적 스포 : 송강호가 살인의 추억을 갖고 올드 보이가 된다.,sbasibatroi,2019.05.30,10,433,92
돈이 다리미지 돈 있는것들은 구김살이 없어  이 대사 넘 공감한다 서민들만 주름살 늘어나지 외모로나 마음으로나,pes0,2019.06.01,10,355,17
"일반 서민들도 지하철 옆 사람이 냄새나면 코 막고, 노숙자라도 타면 자리를 피하는 것은 너무 당연한 일이다. 뻔뻔한 가족 사기단이 죄없는 부자가 그런 표현을 했다고 죽이고, 그 집 숨겨진 지하에 죄의식없이 숨어살며 ...",souseou,2019.06.04,1,414,77
야한장면에 잔인한 장면이 고스란히 나오는걸 15세관람가라니 제정신인가,징징이어뭉gooz,2019.05.31,2,487,158
가난은 바닥을 기다못해 기생충처럼 살아가게 만든다 죄없는 이에게 해를 끼쳤지만 그들에겐 별다른 선택지가 없었다,MilkyBlueshel,2019.05.30,10,379,55
관람객가진 자들은 가지지 못한 자들에 대해 예의라는 거리 두기. 실은 경멸과 두려움. 가지지 못한 자들은 가진 자들에 대한 존경이라는 다가가기. 실은 비아냥과 질투. 계층간의 불쾌한 술래잡기.,강문수moon,2019.06.01,10,345,22
관람객보는 내내 제목을 너무 잘 지었다는 생각이 들었다. 좋았던 영화,rlar,2019.05.30,9,373,50
"한없이 직설적인데, 또 한없이 복잡한 생각을 하게 한다. 이것이 양립가능한가? 봉준호는 해낸다.",초록qkrc,2019.05.30,10,350,28
가난해본 적 없는 자의 가난 묘사.가난의 희화화. 가난한 사람들에 대한 감독의 편견.영화 내내 분수에 맞게 살아라 라는 표현들.기생충에서만 보여지는게 아니라서 어떤 생각을 가지고 있는지 확실히 알겠음.인터뷰 또한 힘...,snowlove770jsj5,2019.06.03,1,453,134
영화보고 나와 집까지 걸어가면서 새삼 주위를 다시 한 번 살펴보게 하는 영화네요.,dula,2019.05.30,10,343,26
부모님이랑 같이 보지 마요..,김은지dmsw,2019.05.30,2,479,168
사기는 지들이  쳐놓고 사회에 불만 가지는 영화,인동초park,2019.05.30,1,494,183
조여정이연기를 잘하시더라구요,기며네khh0,2019.05.31,10,342,33
"나는 그냥 이 영화가 아주 많이, 슬펐다.",스노ange,2019.05.31,10,309,22
관람객조조관람 후 내내 가슴이 아프네요 우리의 현실 ...너무 어려운 질문을 던져주신 봉 감독님,김진아inee,2019.05.30,10,329,45
제목을 어쩜 이렇게 환상적으로 지었어.,행아hang,2019.05.30,10,308,28
아 가슴이 먹먹하다. 나는 위로 갈 것인가 여기에 머물 것인가. 그게 내 의지만으로 되는 것인가,쿠헹vivi,2019.05.30,10,301,23
"웃음은 쓰디 쓰고, 분노는 악랄하며, 슬픔은 처참하다. 역사상 최초로 광대없는 희극과 악인없는 비극이다. 영화를 보고 나온 후에도 내 뇌리에서 장면 장면이 잊혀지지 않고 잔상으로 남아서 공존하는 기생충같은 영화이다....",ACTORrnqh,2019.05.30,10,297,24
아무것도 보고 가지 마세요.. 포스터도.. 예고편도..,dbsw,2019.05.30,10,293,22
왜 15세지?? 너무 기준이 약한거 아닌가,MKmink,2019.05.30,8,311,40
여유로운 마음은 돈에서 온다. 장소가 아무리 변해도 사람들의 위치는 변하지 않는다.,민주m_in,2019.05.31,10,286,18
지금 평점 준다고 알바로 모는 것들은 어제 CGV 스타라이브톡한 것도 모르나 ㅉㅉ 봉준호 감독 영화답게 유쾌하고 스릴있고 공포감마저 드는 영화ㅣ,ychp,2019.05.30,10,399,131
그저 할말을 잃었습니다. 하염없이 빠져들다 울다 웃다 리뷰남깁니다. 이런 울림이있는 영화 만드신 봉준호 감독님 너무 감사합니다. 마지막까지 자리를 못뜨는 힘을 가진 영화입니다. 감사합니다 감사합니다.,BoMrjsd,2019.05.30,10,338,71
폭우가 쏟아져서 미세먼지 하나 없이 생일파티 하기  더없이 좋은날씨가 됐구나... 누군 먼지 구덩이 강당에서 잠도 못청하는데... 하늘에서 내리는 비 조차 사람을 가려서 내리나보다.,안뇽하세요blac,2019.05.31,10,298,34
잘사는 부잣집하나 사기꾼들이 파탄낸 영화,maldorRforu,2019.06.03,2,310,46
기생충처럼 등쳐먹고 사기치고 남에게 피해주는 행위를 가난 이라는 명분하에 면죄부를 주는 듯한 영화.. 인간의 본성? 그딴 허울로 당연하다고 치부하는 건지... 보는내내 기분 더러웠던 영화... 제일 혐오하는 인간상이...,Wellnboa,2019.06.02,2,343,81
가볍게 볼 영화는 아닌거 같음. 어려움,HYEDAshih,2019.05.30,8,266,17
봉준호도  별 다를것없는 기득권층일 뿐이었다.,쩡이enss,2019.06.02,1,347,103
봉준호 작품 중 가장 슬픈 영화,스테파노yhsa,2019.05.30,9,264,29
"사회의 단편적인 모습만 그려냈다. 인간의 존엄성과, 선한양심, 소중함을 배제한채... 소망을 꺼버리려는 듯이세상에 부자중 절반은 자수성가 한 사람이다. 거짓말을 해야만 살아남는 사회가 아니다. 진실과 성실은 전세계에...",달빛소녀suna,2019.05.31,2,356,129
